"id","STREET_NAME","yearCreated","totPotHole"
"1609","PARADROME ST","2025",2
"1610","PARK AV","2023",2
"1611","PARKLINE AV","2025",2
"1612","PARKMAN PL","2024",2
"1613","PARKSIDE PL","2023",2
"1614","PENDLETON ST","2025",2
"1615","PLUM ST","2025",2
"1616","POPLAR LN","2025",2
"1617","PRENTICE ST","2023",2
"1618","PRESIDENT DR","2023",2
"1619","PROSPECT PL","2024",2
"1620","PROSPERITY PL","2025",2
"1621","PUTZ PL","2024",2
"1622","QUEBEC RD","2023",2
"1623","RACHEL ST","2025",2
"1624","RANCHVALE DR","2023",2
"1625","RAPID RUN PIKE","2025",2
"1626","RAWSON PL","2024",2
"1627","RAWSON PL","2025",2
"1628","REDCEDAR DR","2025",2
"1629","REGENT AV","2023",2
"1630","RESOR AV","2024",2
"1631","RICHARDSON PL","2024",2
"1632","ROBINET DR","2025",2
"1633","ROHS ST","2023",2
"1634","RONALDSON AV","2024",2
"1635","RUSHTON RD","2024",2
"1636","SACHEM AV","2024",2
"1637","SEMINOLE ST","2024",2
"1638","SETTLE ST","2023",2
"1639","SIDNEY AV","2025",2
"1640","SOUTH ST","2024",2
"1641","SPRINGER AV","2025",2
"1642","SPRINGHILL LN","2024",2
"1643","ST CATHERINE PL","2023",2
"1644","ST GREGORY ST","2025",2
"1645","ST JAMES AV","2023",2
"1646","ST JAMES AV","2025",2
"1647","ST LAWRENCE AV","2024",2
"1648","STANTON AV","2023",2
"1649","STATION AV","2024",2
"1650","STRAFER ST","2023",2
"1651","STRATFORD AV","2023",2
"1652","TAYLOR AV","2023",2
"1653","TERRY ST","2023",2
"1654","THOBURNE ST","2024",2
"1655","TODD AV","2024",2
"1656","TODD AV","2025",2
"1657","TORRENCE CT","2025",2
"1658","TOWNE ST","2025",2
"1659","TRUITT AV","2025",2
"1660","TURRILL ST","2024",2
"1661","TUSCULUM AV","2025",2
"1662","TUXWORTH AV","2025",2
"1663","TWEED AV","2024",2
"1664","UNIVERSITY CT","2023",2
"1665","UPLAND PL","2023",2
"1666","VAN KIRK AV","2024",2
"1667","VANDERCAR WY","2023",2
"1668","VERNON PL","2023",2
"1669","VIVIAN PL","2024",2
"1670","WASHBURN ST","2024",2
"1671","WASIGO DR","2023",2
"1672","WAYNE ST","2023",2
"1673","WAYNE ST","2024",2
"1674","WERKASTLE LN","2024",2
"1675","WEST TOWER AV","2024",2
"1676","WEST TOWER AV","2025",2
"1677","WESTERN AV","2024",2
"1678","WESTSIDE AV","2024",2
"1679","WESTSIDE AV","2025",2
"1680","WILLIAMSON PL","2023",2
"1681","WINFIELD AV","2024",2
"1682","WINTER ST","2023",2
"1683","WINTON RIDGE LN","2024",2
"1684","WITTLOU AV","2023",2
"1685","WOODBRIAR LN","2025",2
"1686","YOUNG ST","2024",2
"1687","14TH ST","2024",1
"1688","15TH ST","2024",1
"1689","33RD AV","2024",1
"1690","66TH ST","2025",1
"1691","ADELPHI ST","2025",1
"1692","ALFRED ST","2024",1
"1693","ALICEMONT AV","2023",1
"1694","ALMS PL","2023",1
"1695","AMBAR AV","2025",1
"1696","AMBERSON AV","2025",1
"1697","AMMON AV","2023",1
"1698","ANACONDA DR","2025",1
"1699","ANDINA AV","2024",1
"1700","APPLE ST","2024",1
"1701","AQUADALE LN","2025",1
"1702","ARMADA PL","2023",1
"1703","ASHBROOK DR","2025",1
"1704","ASHLAND AV","2024",1
"1705","ASHLAND AV","2025",1
"1706","ASHTREE DR","2023",1
"1707","ATSON LN","2023",1
"1708","ATWOOD AV","2024",1
"1709","AULT PARK AV","2025",1
"1710","AVON DR","2023",1
"1711","AVON DR","2025",1
"1712","BACH AV","2023",1
"1713","BAINS ST","2025",1
"1714","BAKER AV","2024",1
"1715","BARTLETT ST","2023",1
"1716","BAURICHTER ST","2023",1
"1717","BEECH AV","2024",1
"1718","BEECHMAR DR","2025",1
"1719","BEECHMEADOW LN","2024",1
"1720","BELLEAIR PL","2025",1
"1721","BELLEVUE AV","2024",1
"1722","BELVEDERE ST","2025",1
"1723","BENNEVILLE ST","2023",1
"1724","BEREDITH PL","2025",1
"1725","BIGHORN CT","2024",1
"1726","BLAIR AV","2024",1
"1727","BLUE ROCK ST","2025",1
"1728","BOBOLINK DR","2024",1
"1729","BOBOLINK DR","2025",1
"1730","BODMANN AV","2025",1
"1731","BOUCHAINE WY","2024",1
"1732","BOUTON ST","2023",1
"1733","BRACKEN WOODS LN","2025",1
"1734","BRENTWOOD AV","2024",1
"1735","BROWNWAY AV","2024",1
"1736","BRUCE AV","2024",1
"1737","BURDETTE CT","2025",1
"1738","BURNET AV","2023",1
"1739","BURNEY LN","2023",1
"1740","BURSAL CT","2025",1
"1741","BUTLER ST","2023",1
"1742","BUTLER ST","2025",1
"1743","CALUMET ST","2025",1
"1744","CALVIN CLIFF ST","2023",1
"1745","CAMBRIDGE AV","2023",1
"1746","CAMPBELL ST","2024",1
"1747","CAMPUS LN","2023",1
"1748","CAMPUS LN","2024",1
"1749","CAMPUS LN","2025",1
"1750","CARLL ST","2025",1
"1751","CARMALT ST","2023",1
"1752","CARMANIA AV","2024",1
"1753","CARNES ST","2025",1
"1754","CARNEY ST","2024",1
"1755","CARPLIN PL","2025",1
"1756","CARREL ST","2024",1
"1757","CARSON AV","2025",1
"1758","CHARLOE ST","2025",1
"1759","CHERRYWOOD CT","2023",1
"1760","CHESTNUT ST","2025",1
"1761","CHICKASAW ST","2023",1
"1762","CHICKERING AV","2024",1
"1763","CHICKERING AV","2025",1
"1764","CLARAMONT AV","2023",1
"1765","CLIFTON CREST TER","2023",1
"1766","CLOSE CT","2025",1
"1767","CLYBOURN PL","2023",1
"1768","CONGREVE AV","2025",1
"1769","CONROY ST","2023",1
"1770","COOK ST","2025",1
"1771","CORRY ST","2023",1
"1772","CORTELYOU AV","2023",1
"1773","CRESTLINE AV","2024",1
"1774","DALEWOOD PL","2023",1
"1775","DANIELS ST","2025",1
"1776","DARTMOUTH DR","2024",1
"1777","DAYTON ST","2025",1
"1778","DAYTONA AV","2024",1
"1779","DENHAM ST","2025",1
"1780","DENNIS ST","2025",1
"1781","DESMOND ST","2025",1
"1782","DIXMONT AV","2023",1
"1783","DIXMYTH AV","2023",1
"1784","DOUGLAS TER","2025",1
"1785","DOVER ST","2024",1
"1786","DRAKEWOOD DR","2024",1
"1787","DREXEL PL","2024",1
"1788","DUNHAM LN","2025",1
"1789","DURHAM ST","2023",1
"1790","DURHAM ST","2024",1
"1791","DURHAM ST","2025",1
"1792","EASTLAWN DR","2025",1
"1793","EDGEHILL PL","2024",1
"1794","EDWOOD AV","2023",1
"1795","EGBERT AV","2025",1
"1796","ELDA LN","2025",1
"1797","ELDER ST","2023",1
"1798","ELDER ST","2025",1
"1799","ELIZA ST","2025",1
"1800","ELKTON PL","2024",1
"1801","ELLIS ST","2025",1
"1802","ELSINORE AV","2023",1
"1803","EPWORTH CT","2024",1
"1804","ERIE CT","2025",1
"1805","ERLENE DR","2023",1
"1806","ERLENE DR","2024",1
"1807","EUCLID AV","2024",1
"1808","EZZARD CHARLES DR","2023",1
"1809","FAIRFAX AV","2024",1
"1810","FAIRVIEW AV","2024",1
"1811","FEHR RD","2025",1
"1812","FENMORE DR","2024",1
"1813","FISHWICK DR","2024",1
"1814","FLEETWOOD AV","2024",1
"1815","FLORA ST","2023",1
"1816","FLORIDA AV","2023",1
"1817","FLOWERWOOD CT","2024",1
"1818","FOREST AV","2025",1
"1819","FORESTVIEW GARDENS DR","2024",1
"1820","FORT WASHINGTON EB WY","2023",1
"1821","FOSDICK ST","2025",1
"1822","FOX RD","2023",1
"1823","FRANCIS AV","2025",1
"1824","FRANKLIN AV","2025",1
"1825","FREDDIE DR","2023",1
"1826","FREDERICK AV","2023",1
"1827","FROOME AV","2023",1
"1828","FROOME AV","2024",1
"1829","GHOLSON AV","2024",1
"1830","GILMAN AV","2025",1
"1831","GLADE AV","2023",1
"1832","GLEN MEADOW LN","2025",1
"1833","GLENHURST PL","2025",1
"1834","GLENNA DR","2025",1
"1835","GLENVIEW AV","2023",1
"1836","GOTHAM PL","2023",1
"1837","GRAND VISTA AV","2024",1
"1838","GRANDVIEW AV","2024",1
"1839","GREEN ST","2023",1
"1840","GREEN ST","2024",1
"1841","GREENWICH AV","2024",1
"1842","HACKBERRY ST","2023",1
"1843","HAMPTON LN","2023",1
"1844","HANFIELD ST","2024",1
"1845","HARVEST AV","2025",1
"1846","HASTINGS ST","2024",1
"1847","HATCH ST","2025",1
"1848","HATMAKER ST","2023",1
"1849","HAVEN ST","2025",1
"1850","HEGRY CIR","2025",1
"1851","HEITZLER AV","2025",1
"1852","HEMPWOOD AV","2025",1
"1853","HENRY ST","2025",1
"1854","HEREFORD ST","2024",1
"1855","HERLIN PL","2025",1
"1856","HERSCHEL AV","2024",1
"1857","HERSCHEL VIEW PL","2023",1
"1858","HOADLY CT","2025",1
"1859","HOLLOWAY AV","2024",1
"1860","HOPPLE ST","2023",1
"1861","HUDSON AV","2024",1
"1862","HUEY AV","2024",1
"1863","ILIFF AV","2023",1
"1864","IROLL AV","2023",1
"1865","IROLL AV","2025",1
"1866","ISIS AV","2024",1
"1867","IVANHOE AV","2025",1
"1868","JAMESON ST","2023",1
"1869","JAMESON ST","2025",1
"1870","JEROME AV","2024",1
"1871","JOE NUXHALL WY","2024",1
"1872","JOHN ST","2023",1
"1873","JONATHAN AV","2024",1
"1874","JOSEPH ST","2024",1
"1875","JOYCE LN","2023",1
"1876","JUNIETTA AV","2023",1
"1877","JUNIETTA AV","2024",1
"1878","KIRKWOOD LN","2023",1
"1879","KNOLLWOOD LN","2023",1
"1880","KNOLLWOOD LN","2024",1
"1881","KNORR AV","2025",1
"1882","KNOWLTON ST","2024",1
"1883","KREIS LN","2025",1
"1884","KROGERVALLEY DR","2024",1
"1885","LA RUE CT","2025",1
"1886","LAFAYETTE LN","2025",1
"1887","LAKELAND AV","2025",1
"1888","LARRY AV","2023",1
"1889","LARRY AV","2024",1
"1890","LARRYWOOD LN","2025",1
"1891","LATHROP PL","2025",1
"1892","LAURA LN","2025",1
"1893","LEDGEWOOD DR","2023",1
"1894","LEDLIE ST","2023",1
"1895","LEHIGH AV","2023",1
"1896","LEHMAN RD","2023",1
"1897","LIDDELL ST","2024",1
"1898","LINDEN DR","2023",1
"1899","LOCKER CT","2024",1
"1900","LOCKWOOD PL","2025",1
"1901","LONGVIEW ST","2024",1
"1902","LORETTA AV","2024",1
"1903","LUDLOW PL","2025",1
"1904","MACE AV","2024",1
"1905","MANNINGTON AV","2024",1
"1906","MANSS AV","2025",1
"1907","MAPLEWOOD AV","2024",1
"1908","MARLOWE AV","2024",1
"1909","MARMION LN","2025",1
"1910","MARQUETTE AV","2025",1
"1911","MARYLAND AV","2023",1
"1912","MASSACHUSETTS AV","2023",1
"1913","MATHIS ST","2024",1
"1914","MATLOCK AV","2023",1
"1915","MCCORMICK PL","2023",1
"1916","MCCORMICK PL","2025",1
"1917","MCCULLOUGH ST","2025",1
"1918","MCFARLAN RD","2023",1
"1919","MCGREGOR AV","2025",1
"1920","MCKINLEY AV","2025",1
"1921","MCWILLIAMS ST","2025",1
"1922","MEARS AV","2023",1
"1923","MEIER AV","2024",1
"1924","MELISH PL","2023",1
"1925","MEYER PL","2023",1
"1926","MICHIGAN AV","2023",1
"1927","MICKEY AV","2024",1
"1928","MIDDLETON AV","2025",1
"1929","MILLCREEK RD","2024",1
"1930","MILLSDALE ST","2023",1
"1931","MISSOURI AV","2025",1
"1932","MONASTERY ST","2025",1
"1933","MONTICELLO AV","2025",1
"1934","MOORE ST","2023",1
"1935","MOOSEWOOD AV","2023",1
"1936","MOUND ST","2024",1
"1937","MUDDY CREEK RD","2024",1
"1938","MYRTLE AV","2025",1
"1939","NIXON ST","2024",1
"1940","NORTHERN AV","2024",1
"1941","NORWOOD LATERAL WB","2024",1
"1942","NORWOOD LATERAL WB","2025",1
"1943","NOVA AV","2025",1
"1944","OAK KNOLL DR","2024",1
"1945","OAKDALE AV","2024",1
"1946","OAKFIELD AV","2025",1
"1947","OAKWOOD AV","2023",1
"1948","OAKWOOD AV","2024",1
"1949","OBERLIN BLVD","2025",1
"1950","OBSERVATORY HL","2024",1
"1951","ODIN AV","2023",1
"1952","ODIN AV","2024",1
"1953","OHIO AV","2023",1
"1954","OLD TIMBER PL","2025",1
"1955","ORCHARD LN","2023",1
"1956","ORKNEY AV","2024",1
"1957","ORLAND AV","2023",1
"1958","OSGOOD ST","2025",1
"1959","OXFORD AV","2023",1
"1960","OXLEY ST","2025",1
"1961","PARKLINE AV","2024",1
"1962","PARKMAN PL","2025",1
"1963","PARKVIEW AV","2024",1
"1964","PATRICK DR","2025",1
"1965","PAVILION ST","2025",1
"1966","PAXTON WOODS DR","2025",1
"1967","PEABODY AV","2023",1
"1968","PENROSE PL","2024",1
"1969","PHYLLIS LN","2024",1
"1970","PINEHURST AV","2025",1
"1971","PITTS AV","2023",1
"1972","PLANTATION WY","2023",1
"1973","PLEASANT ST","2025",1
"1974","PROBASCO ST","2025",1
"1975","PRODUCTION DR","2025",1
"1976","QUANTE AV","2024",1
"1977","QUEBEC RD","2024",1
"1978","RAMONA AV","2025",1
"1979","RAYMAR DR","2023",1
"1980","REDFIELD PL","2025",1
"1981","REGINA GRAETER WY","2024",1
"1982","RELLEUM AV","2023",1
"1983","RELLEUM AV","2024",1
"1984","RIDGE RD","2024",1
"1985","RIDGEWAY AV","2024",1
"1986","RILEY LN","2025",1
"1987","ROBINET DR","2024",1
"1988","ROBINWOOD AV","2025",1
"1989","ROEBLING RD","2023",1
"1990","ROEBLING RD","2025",1
"1991","RONALDSON AV","2023",1
"1992","ROSE HILL AV","2025",1
"1993","ROSE PL","2025",1
"1994","ROSS AV","2023",1
"1995","ROSSMORE AV","2025",1
"1996","RUTH LYONS LN","2024",1
"1997","RUTHER AV","2023",1
"1998","SALEM HILLS LN","2024",1
"1999","SARANAC AV","2024",1
"2000","SAVANNAH AV","2024",1
"2001","SAYBROOK AV","2023",1
"2002","SCARLET DR","2023",1
"2003","SEMINOLE ST","2025",1
"2004","SENATOR PL","2024",1
"2005","SETCHELL ST","2025",1
"2006","SHAFFER AV","2025",1
"2007","SHENANDOAH AV","2024",1
"2008","SHENANDOAH AV","2025",1
"2009","SHEPHERD RD","2023",1
"2010","SHIELDS ST","2025",1
"2011","SHONA DR","2025",1
"2012","SHORT VINE ST","2024",1
"2013","SIDNEY RD","2023",1
"2014","STANTON AV","2024",1
"2015","STATHEM AV","2025",1
"2016","STERLING AV","2024",1
"2017","SUIRE AV","2023",1
"2018","SUMMIT RD","2024",1
"2019","SUNNYBROOK DR","2025",1
"2020","SUNSET LN","2023",1
"2021","SUNWALK DR","2025",1
"2022","TAYLOR AV","2024",1
"2023","TAYLOR AV","2025",1
"2024","TEAKWOOD AV","2024",1
"2025","TENNESSEE AV","2023",1
"2026","TERRACE AV","2024",1
"2027","TERRY ST","2024",1
"2028","TORRENCE LN","2023",1
"2029","TOWNE ST","2023",1
"2030","TRUITT AV","2023",1
"2031","TWAIN AV","2024",1
"2032","TWAIN AV","2025",1
"2033","TYNE AV","2023",1
"2034","VAN KIRK AV","2023",1
"2035","VERDIN AV","2023",1
"2036","VICTORIA AV","2024",1
"2037","VINEDALE AV","2025",1
"2038","VINEYARD PL","2023",1
"2039","VISTA AV","2023",1
"2040","VOGEL RD","2024",1
"2041","WANDERLING LN","2023",1
"2042","WAREHAM DR","2025",1
"2043","WARRICK ST","2025",1
"2044","WAYSIDE AV","2025",1
"2045","WAYSIDE PL","2023",1
"2046","WEBMAN CT","2023",1
"2047","WEIGOLD AV","2024",1
"2048","WENATCHEE LN","2023",1
"2049","WESTBROOK DR","2024",1
"2050","WESTERN AV","2023",1
"2051","WESTKNOLLS LN","2024",1
"2052","WESTRIDGE AV","2025",1
"2053","WHEELER ST","2025",1
"2054","WHIPPLE ST","2023",1
"2055","WHITE ST","2024",1
"2056","WHITE ST","2025",1
"2057","WIEMAN AV","2023",1
"2058","WILBUD DR","2024",1
"2059","WILDWOOD ST","2024",1
"2060","WILLARD AV","2024",1
"2061","WINNESTE AV","2024",1
"2062","WINONA TER","2025",1
"2063","WOODBINE AV","2025",1
"2064","WOODMONT AV","2024",1
"2065","WYATT AV","2023",1
"2066","WYATT AV","2024",1
"2067","WYOMING AV","2023",1
"2068","YOUNG ST","2025",1
"2069","ZINN PL","2023",1
"2070","ZINN PL","2025",1
"2071","13TH ST","2024",0
"2072","33RD AV","2023",0
"2073","5TH ST","2024",0
"2074","70TH ST","2024",0
"2075","75TH ST","2024",0
"2076","ACADEMY AV","2025",0
"2077","AIKENSIDE AV","2025",0
"2078","AIRPORT RD","2023",0
"2079","ALBION PL","2025",0
"2080","ALDERMONT CT","2024",0
"2081","ALFRED ST","2023",0
"2082","ALLAIRE AV","2023",0
"2083","ALLENDALE DR","2024",0
"2084","ALPINE TER","2025",0
"2085","AMELIA CT","2024",0
"2086","ANDERSON PL","2023",0
"2087","APJONES ST","2024",0
"2088","ARBOR AV","2023",0
"2089","ARGYLE AV","2024",0
"2090","ASHLAND AV","2023",0
"2091","ASMANN AV","2023",0
"2092","ASMANN AV","2025",0
"2093","ATWOOD AV","2025",0
"2094","AUBURN AV","2023",0
"2095","AUBURN AV","2024",0
"2096","AUSTIN TER","2025",0
"2097","AUTEN AV","2024",0
"2098","AVON FIELDS LN","2025",0
"2099","BALLARD AV","2024",0
"2100","BANTRY AV","2023",0
"2101","BARBERRY AV","2025",0
"2102","BARROW AV","2025",0
"2103","BARTLETT ST","2024",0
"2104","BASSETT RD","2023",0
"2105","BATES AV","2023",0
"2106","BATES AV","2024",0
"2107","BAUM ST","2023",0
"2108","BAYMILLER ST","2024",0
"2109","BELDARE AV","2023",0
"2110","BEREDITH PL","2023",0
"2111","BERKSHIRE LN","2023",0
"2112","BERRY AV","2025",0
"2113","BERWYN PL","2025",0
"2114","BESUDEN CT","2023",0
"2115","BESUDEN CT","2024",0
"2116","BETTMAN DR","2024",0
"2117","BETTS AV","2024",0
"2118","BETTS ST","2025",0
"2119","BEVIS AV","2024",0
"2120","BLAIR AV","2023",0
"2121","BLAIR CT","2023",0
"2122","BLUFFCREST LN","2025",0
"2123","BORDEN ST","2024",0
"2124","BRACHMAN AV","2023",0
"2125","BRACKEN WOODS LN","2024",0
"2126","BRESTEL RD","2024",0
"2127","BREWSTER AV","2023",0
"2128","BRITTON AV","2023",0
"2129","BROADWAY","2024",0
"2130","BROOKLINE AV","2025",0
"2131","BROWNWAY AV","2025",0
"2132","BRYANT AV","2024",0
"2133","BUDD ST","2023",0
"2134","BUDD ST","2024",0
"2135","BUDWOOD CT","2025",0
"2136","BURNS ST","2024",0
"2137","BURTON WOODS LN","2023",0
"2138","CANYON DR","2023",0
"2139","CANYON DR","2024",0
"2140","CAROLINA AV","2024",0
"2141","CARPLIN PL","2024",0
"2142","CARR ST","2025",0
"2143","CARRAHEN AV","2025",0
"2144","CASPER ST","2024",0
"2145","CATHERINE ST","2025",0
"2146","CEDAR AL","2024",0
"2147","CENTURY LN","2025",0
"2148","CHARLEMAR DR","2025",0
"2149","CHARLOE ST","2023",0
"2150","CHARLTON ST","2024",0
"2151","CHURCH ST","2023",0
"2152","CHURCHILL AV","2024",0
"2153","CITYCENTRE DR","2024",0
"2154","CLAY ST","2024",0
"2155","CLAYLAND ST","2024",0
"2156","CLEARBROOK DR","2025",0
"2157","CLEMMER AV","2025",0
"2158","CLEVELAND AV","2024",0
"2159","CLEVELAND AV","2025",0
"2160","CLIFF LAINE DR","2023",0
"2161","CLIFTON COLONY DR","2023",0
"2162","CLIFTON COLONY DR","2025",0
"2163","CLIFTON HILLS AV","2024",0
"2164","CLINTON SPRINGS AV","2024",0
"2165","CLUB VIEW DR","2025",0
"2166","COFFEY ST","2023",0
"2167","COLUMBUS AV","2025",0
"2168","COMMONS WY","2025",0
"2169","CONCORD ST","2023",0
"2170","COOK ST","2024",0
"2171","COPPICE LN","2024",0
"2172","COX LN","2025",0
"2173","CRAIG AV","2025",0
"2174","CROSS LN","2024",0
"2175","CRYER AV","2024",0
"2176","CYPRESS GARDEN AV","2023",0
"2177","DALEWOOD PL","2025",0
"2178","DARTMOUTH DR","2025",0
"2179","DAVENANT AV","2023",0
"2180","DECKEBACH AV","2024",0
"2181","DELANEY ST","2024",0
"2182","DELL TER","2024",0
"2183","DELLWAY ST","2025",0
"2184","DELMAR AV","2024",0
"2185","DESALES LN","2025",0
"2186","DESMOND ST","2024",0
"2187","DEVONWOOD DR","2023",0
"2188","DEVONWOOD DR","2024",0
"2189","DIEHL RD","2025",0
"2190","DIRR ST","2023",0
"2191","DISNEY ST","2023",0
"2192","DISNEY ST","2025",0
"2193","DIXIE AV","2024",0
"2194","DIXMYTH AV","2025",0
"2195","DORSEY ST","2025",0
"2196","DRAPER ST","2024",0
"2197","DUNAWAY AV","2025",0
"2198","DUNCAN AV","2025",0
"2199","DUNLAP ST","2024",0
"2200","DUTCH COLONY DR","2024",0
"2201","EARNSHAW AV","2025",0
"2202","EDEN AV","2025",0
"2203","EDGAR ST","2025",0
"2204","EDGEMONT RD","2024",0
"2205","EGAN HILLS DR","2025",0
"2206","ELLISON AV","2025",0
"2207","ELM PARK DR","2025",0
"2208","ELMHURST PL","2025",0
"2209","ELMWOOD AV","2024",0
"2210","ELSINORE AV","2024",0
"2211","EMPRESS AV","2023",0
"2212","EMPRESS AV","2025",0
"2213","ENSLIN ST","2023",0
"2214","ERKENBRECHER AV","2024",0
"2215","EVANS ST","2023",0
"2216","EVANS ST","2025",0
"2217","EVERSON AV","2024",0
"2218","FAIRHILL DR","2024",0
"2219","FELICITY PL","2023",0
"2220","FERGUS ST","2025",0
"2221","FERNDALE AV","2025",0
"2222","FERNVIEW AV","2025",0
"2223","FISK AV","2024",0
"2224","FITHIAN ST","2024",0
"2225","FOUR TOWERS DR","2024",0
"2226","FOX RD","2024",0
"2227","FRANCIS LN","2024",0
"2228","FRANCISRIDGE DR","2023",0
"2229","FRANKLIN AV","2023",0
"2230","FREDDIE DR","2025",0
"2231","FREDERICK AV","2025",0
"2232","FRINTZ ST","2023",0
"2233","FULTON AV","2023",0
"2234","FULTON AV","2024",0
"2235","FYFFE AV","2023",0
"2236","GEORGIA AV","2024",0
"2237","GERARD ST","2025",0
"2238","GEROLD DR","2025",0
"2239","GLENRIDGE PL","2024",0
"2240","GLENWOOD AV","2024",0
"2241","GOSS RD","2023",0
"2242","GRACE AV","2023",0
"2243","GRAY RD","2024",0
"2244","GREENLAND PL","2023",0
"2245","GREENWOOD AV","2025",0
"2246","GROVEDALE PL","2023",0
"2247","HALPIN AV","2024",0
"2248","HAMPTON CT","2023",0
"2249","HAMPTON LN","2024",0
"2250","HARROW AV","2023",0
"2251","HARTWELL AV","2024",0
"2252","HARVEST AV","2024",0
"2253","HASTINGS ST","2023",0
"2254","HAWAIIAN TER","2025",0
"2255","HAWTHORNE AV","2023",0
"2256","HAZELWOOD AV","2024",0
"2257","HEARNE AV","2024",0
"2258","HEGRY CIR","2024",0
"2259","HERRINGBONE DR","2025",0
"2260","HERRON AV","2024",0
"2261","HERSCHEL AV","2023",0
"2262","HESS AV","2024",0
"2263","HEWITT AV","2023",0
"2264","HEWITT AV","2024",0
"2265","HEWITT AV","2025",0
"2266","HEWITT CRSC","2024",0
"2267","HIDDEN ST","2024",0
"2268","HIGHCLIFF CT","2025",0
"2269","HILLCREST RD","2023",0
"2270","HILLSIDE AV","2024",0
"2271","HOFF AV","2025",0
"2272","HOKEL LN","2025",0
"2273","HOLLY LN","2025",0
"2274","HOMESTEAD PL","2023",0
"2275","HOMESTEAD PL","2024",0
"2276","HOWELL AV","2023",0
"2277","HOWELL AV","2024",0
"2278","HUDSON AV","2023",0
"2279","HULBERT AV","2024",0
"2280","HULL AV","2025",0
"2281","HUTCHINS AV","2024",0
"2282","I-74 WB EXWY","2023",0
"2283","ISIS AV","2023",0
"2284","JEROME ST","2025",0
"2285","JERSEY AV","2023",0
"2286","JOSELIN AV","2025",0
"2287","JOYCE LN","2024",0
"2288","KEMPER RD","2025",0
"2289","KENOVA AV","2024",0
"2290","KENTON ST","2024",0
"2291","KENTUCKY AV","2025",0
"2292","KESSLER PL","2025",0
"2293","KIRKWOOD LN","2024",0
"2294","KREIS LN","2024",0
"2295","KUHLMAN AV","2024",0
"2296","LA CROSSE AV","2024",0
"2297","LAFAYETTE AV","2023",0
"2298","LAFAYETTE AV","2025",0
"2299","LAIDLAW AV","2025",0
"2300","LAKEMAN ST","2024",0
"2301","LAKEVIEW AV","2024",0
"2302","LANG ST","2024",0
"2303","LANGDON FARM RD","2023",0
"2304","LANGLAND ST","2024",0
"2305","LARMON CT","2024",0
"2306","LASALLE ST","2023",0
"2307","LEONARD ST","2023",0
"2308","LEONARD ST","2024",0
"2309","LEONARD ST","2025",0
"2310","LEXINGTON AV","2024",0
"2311","LINNEMAN ST","2023",0
"2312","LISBON AV","2024",0
"2313","LOCKER CT","2025",0
"2314","LOCKMAN AV","2024",0
"2315","LODGE RD","2025",0
"2316","LOISKA LN","2025",0
"2317","LOWLAND RD","2025",0
"2318","LUCERNE AV","2025",0
"2319","LUDLOW PL","2023",0
"2320","LUNKENPARK DR","2025",0
"2321","LURAY AV","2024",0
"2322","LYON ST","2025",0
"2323","LYSLE LN","2023",0
"2324","MADISON PARK AV","2023",0
"2325","MAISEL DR","2023",0
"2326","MANNING AV","2025",0
"2327","MANOR HILL DR","2023",0
"2328","MARIWOOD LN","2025",0
"2329","MARKBREIT AV","2023",0
"2330","MARYLAND AV","2025",0
"2331","MATHIS ST","2023",0
"2332","MAUREEN LN","2025",0
"2333","MCFARLAND ST","2025",0
"2334","MEADOWBRIGHT LN","2025",0
"2335","MEARS AV","2024",0
"2336","MEDPACE WY","2025",0
"2337","MEEKER ST","2023",0
"2338","MEIER AV","2023",0
"2339","MEIER AV","2025",0
"2340","MEIS AV","2024",0
"2341","MENDOVA LN","2024",0
"2342","MERWIN AV","2025",0
"2343","MIGNON AV","2024",0
"2344","MILLCREEK RD","2025",0
"2345","MILTON ST","2023",0
"2346","MISSOURI AV","2023",0
"2347","MOELLERING AV","2024",0
"2348","MOORMAN AV","2024",0
"2349","MORGAN ST","2024",0
"2350","MORRISON AV","2024",0
"2351","MOYER PL","2023",0
"2352","MOYER PL","2024",0
"2353","MUCHMORE ST","2025",0
"2354","MURRAY AV","2025",0
"2355","MYRTLE AV","2023",0
"2356","NASH AV","2023",0
"2357","NEBRASKA AV","2024",0
"2358","NICHOLSON AV","2023",0
"2359","NICHOLSON AV","2024",0
"2360","NIXON ST","2025",0
"2361","NORTHCUTT AV","2025",0
"2362","NORWOOD LATERAL EB","2025",0
"2363","NOTTINGHAM RD","2023",0
"2364","OHIO AV","2025",0
"2365","OLD LUDLOW AV","2023",0
"2366","OLIVER ST","2024",0
"2367","OMENA PL","2024",0
"2368","OREGON ST","2025",0
"2369","OTTE AV","2023",0
"2370","OTTE AV","2024",0
"2371","OXFORD AV","2024",0
"2372","PANAMA ST","2025",0
"2373","PARKER ST","2024",0
"2374","PARKVIEW AV","2025",0
"2375","PARKWAY AV","2025",0
"2376","PATTISON AV","2024",0
"2377","PAVILION ST","2023",0
"2378","PEABODY AV","2024",0
"2379","PEETE ST","2023",0
"2380","PHILLIPS AV","2024",0
"2381","PICKMEIER LN","2024",0
"2382","PIEDMONT AV","2023",0
"2383","PITTS AV","2024",0
"2384","PORTAGE ST","2025",0
"2385","PRESTON ST","2025",0
"2386","PRINCIPIO AV","2024",0
"2387","PULLAN AV","2023",0
"2388","QUEENSWOOD DR","2023",0
"2389","RALPH AV","2024",0
"2390","RAWSON PL","2023",0
"2391","RED BUD AV","2023",0
